date,px,vol
2013-12-15,629.26001,231.5399338199997
2013-12-16,519,1077.620795379999
2013-12-17,503.41226,659.0817283100001
2013-12-18,386.67544,2528.6003121600015
2013-12-19,505,1196.741821239999
2013-12-20,476.01,856.9355861399994
2013-12-21,451,398.5014078199999
2013-12-22,461.99,479.1749396099998
2013-12-23,480,287.53990823000015
2013-12-24,485.79869,298.35509127000057
2013-12-25,497.4011,162.45040900999993
2013-12-26,549,999.939319879997
2013-12-27,532.79182,461.00876935999975
2013-12-28,533.29,219.28182394000058
2013-12-29,535.35,131.01555153999993
2013-12-30,540.01,174.6679610400003
2013-12-31,539,165.9009508199996
2014-01-01,547.9,212.67696733999963
2014-01-02,565,482.2042903800002
2014-01-03,595,625.9969217400006
2014-01-04,609.70664,587.7707917599997
2014-01-05,665.8,1143.7646629999942
2014-01-06,673.56807,1399.7235318299788
2014-01-07,592,1104.160015859988
2014-01-08,613.47231,523.2725165300019
2014-01-09,614.22456,583.3343305100004
2014-01-10,625.73866,323.0473791899996
2014-01-11,653.89888,561.2567919499986
2014-01-12,625.2666,477.75793092000134
2014-01-13,611.8,607.2936935300035
2014-01-14,609.2159,274.65847098999996
2014-01-15,624.7,346.36364197000046
2014-01-16,610,293.7493758000008
2014-01-17,585.36822,684.7349928299959
2014-01-18,596.973,282.1811189999998
2014-01-19,612.55555,331.49333765000046
2014-01-20,613.98,186.0792289000001
2014-01-21,611.09264,240.3588587299999
2014-01-22,605.726,248.1398820700001
2014-01-23,603,186.7750107100006
2014-01-24,580,461.40820413000074
2014-01-25,592.88444,191.33798753999972
2014-01-26,595.7,236.82064425000004
2014-01-27,548.15039,632.4594848000006
2014-01-28,584,540.09830289
2014-01-29,581.01001,240.5632734799996
2014-01-30,592,374.27484208000203
2014-01-31,595.88999,198.43785049000078
2014-02-01,600.84909,229.58025866999984
2014-02-02,602.56,150.36622540999997
2014-02-03,598.4,208.41462709999976
2014-02-04,595.65,292.62066020000094
2014-02-05,590,229.84585419999962
2014-02-06,568.9891,587.6799864599984
2014-02-07,525,1448.689477349989
2014-02-08,506.95623,366.53079925000054
2014-02-09,507.00361,449.1011212400006
2014-02-10,504.99,1454.2792443199924
2014-02-11,498.4854,1109.3538978400002
2014-02-12,492.17151,578.0048268599992
2014-02-13,452.30001,931.4185117700024
2014-02-14,497,1789.8213450799856
2014-02-15,483,410.3106737099987
2014-02-16,454,911.9658399000035
2014-02-17,465.02,886.9955117300017
2014-02-18,463,509.403843990002
2014-02-19,457,379.2630969500002
2014-02-20,407,1602.20787967999
2014-02-21,421,1147.1713168800013
2014-02-22,443.98,1080.2285068899998
2014-02-23,444.08659,1061.6848968400009
2014-02-24,405.0107,1055.8845929600052
2014-02-25,390,2228.7493979399906
2014-02-26,432.71612,1867.346843779987
2014-02-27,428.94449,888.3220917400007
2014-02-28,409.6279,1343.5380263899988
2014-03-01,418.1,391.1513000200003
2014-03-02,417.5627,317.07488352999906
2014-03-03,482.494,2820.501718090014
2014-03-04,489.37083,1806.61737465996
2014-03-05,487.7992,873.8570717299976
2014-03-06,479.46337,705.3373759899996
2014-03-07,461.9,1197.8175075600013
2014-03-08,453.79562,550.1564369999995
2014-03-09,463,643.0319404099986
2014-03-10,454.872,574.1098898199991
2014-03-11,457.42613,447.5865254900001
2014-03-12,460.21265,563.1044016899999
2014-03-13,463.18249,398.5408035400001
2014-03-14,457.68211,475.6213902100009
2014-03-15,459.70056,343.4442800199996
2014-03-16,457.031,147.56457995999997
2014-03-17,448.93918,476.40138107000007
2014-03-18,446.021,853.8866388000031
2014-03-19,441.22593,571.8092151800021
2014-03-20,425.97207,735.3282750500018
2014-03-21,416.53576,1103.660858760003
2014-03-22,411.21662,736.1853497400037
2014-03-23,411.34,290.05545420999977
2014-03-24,422.82322,872.4914026700031
2014-03-25,423.14,689.7795415199994
2014-03-26,425.3,785.6592944100022
2014-03-27,367.50812,2198.168167939977
2014-03-28,379.84,1221.3518322599978
2014-03-29,364,443.92634756999996
2014-03-30,340.1,1378.0251864499912
2014-03-31,334.1305,813.5176437700042
2014-04-01,357.12,1565.352968870003
2014-04-02,325.99897,1771.909515619987
2014-04-03,327.25,1365.8287422399883
2014-04-04,331.61926,751.3429147599995
2014-04-05,338.99,393.5841311300001
2014-04-06,337.54473,275.1229638099989
2014-04-07,331.62,598.088404290002
2014-04-08,334.28,537.2504766799963
2014-04-09,324,788.4830256200063
2014-04-10,264.72211,2634.859618909969
2014-04-11,310.07724,2622.629847229975
2014-04-12,309.3,532.6562123500036
2014-04-13,304.969,815.61002103
2014-04-14,335.724,2256.713089819993
2014-04-15,377.5,2791.402363320006
2014-04-16,378.12926,2578.945230869993
2014-04-17,360.25,1468.1244624099904
2014-04-18,351.7588,658.0443913100021
2014-04-19,363,717.085610480001
2014-04-20,361.15971,291.7292631900002
2014-04-21,360.0528,386.81120505999945
2014-04-22,354.4,291.53843558000005
2014-04-23,355.32756,481.84285413000083
2014-04-24,360.989,632.9929382500002
2014-04-25,337.21535,1744.4082718999978
2014-04-26,332.14252,683.1125851199986
2014-04-27,314,596.9333267699996
2014-04-28,317.28001,975.3518853099952
2014-04-29,324.62707,1125.7655438299967
2014-04-30,323.60028,782.6775172500008
2014-05-01,332.581,613.6518150799997
2014-05-02,326.469,637.907475970002
2014-05-03,316.54435,579.1135082000025
2014-05-04,316.546,179.8802821799999
2014-05-05,311.50187,543.8644523000003
2014-05-06,309.5,739.15790407
2014-05-07,317.10393,1046.9807127999995
2014-05-08,317.51001,620.0425755800009
